year,month,day,dep_time,sched_dep_time,dep_delay
2013,1,1,517,515,2
2013,1,1,602,610,-8
2013,1,1,629,630,-1
2013,1,1,656,700,-4
2013,1,1,727,730,-3
2013,1,1,753,755,-2
2013,1,1,811,815,-4
2013,1,1,829,830,-1
2013,1,1,856,900,-4
2013,1,1,912,906,6
2013,1,1,932,930,2
2013,1,1,959,1000,-1
2013,1,1,1031,1030,1
2013,1,1,1101,1043,18
2013,1,1,1130,1131,-1
2013,1,1,1157,1205,-8
2013,1,1,1222,1159,23
2013,1,1,1255,1255,0
2013,1,1,1315,1317,-2
2013,1,1,1346,1330,16
2013,1,1,1416,1411,5
2013,1,1,1442,1450,-8
2013,1,1,1457,1500,-3
2013,1,1,1515,1437,38
2013,1,1,1529,1530,-1
2013,1,1,1550,1550,0
2013,1,1,1603,1600,3
2013,1,1,1626,1630,-4
2013,1,1,1642,1610,32
2013,1,1,1705,1705,0
2013,1,1,1725,1720,5
2013,1,1,1744,1745,-1
2013,1,1,1803,1800,3
2013,1,1,1826,1830,-4
2013,1,1,1848,1745,63
2013,1,1,1909,1912,-3
2013,1,1,1930,1745,105
2013,1,1,1959,1930,29
2013,1,1,2021,2025,-4
2013,1,1,2052,2029,23
2013,1,1,2115,2110,5
2013,1,1,2217,2130,47
2013,1,1,,1500,
2013,1,2,559,601,-2
2013,1,2,612,600,12
2013,1,2,632,630,2
2013,1,2,654,651,3
2013,1,2,707,715,-8
2013,1,2,732,732,0
2013,1,2,752,800,-8
2013,1,2,810,800,10
2013,1,2,826,830,-4
2013,1,2,841,844,-3
2013,1,2,858,900,-2
2013,1,2,916,919,-3
2013,1,2,938,940,-2
2013,1,2,1003,820,103
2013,1,2,1031,1015,16
2013,1,2,1056,1100,-4
2013,1,2,1125,925,120
2013,1,2,1156,1158,-2
2013,1,2,1213,1220,-7
2013,1,2,1240,1245,-5
2013,1,2,1258,1259,-1
2013,1,2,1333,1259,34
2013,1,2,1353,1356,-3
2013,1,2,1430,1435,-5
2013,1,2,1452,1449,3
2013,1,2,1506,1455,11
2013,1,2,1525,1530,-5
2013,1,2,1541,1545,-4
2013,1,2,1557,1600,-3
2013,1,2,1607,1030,337
2013,1,2,1627,1630,-3
2013,1,2,1655,1655,0
2013,1,2,1715,1720,-5
2013,1,2,1730,1729,1
2013,1,2,1749,1654,55
2013,1,2,1805,1810,-5
2013,1,2,1828,1830,-2
2013,1,2,1844,1855,-11
2013,1,2,1858,1855,3
2013,1,2,1919,1920,-1
2013,1,2,1940,1909,31
2013,1,2,2002,2000,2
2013,1,2,2028,2030,-2
2013,1,2,2049,2100,-11
2013,1,2,2115,2125,-10
2013,1,2,2215,2220,-5
2013,1,2,,1420,
2013,1,3,556,600,-4
2013,1,3,612,615,-3
2013,1,3,629,630,-1
2013,1,3,654,659,-5
2013,1,3,704,705,-1
2013,1,3,730,730,0
2013,1,3,758,759,-1
2013,1,3,811,815,-4
2013,1,3,830,825,5
2013,1,3,851,827,24
2013,1,3,900,900,0
2013,1,3,916,805,71
2013,1,3,947,1000,-13
2013,1,3,1009,953,16
2013,1,3,1038,1042,-4
2013,1,3,1110,1115,-5
2013,1,3,1144,1115,29
2013,1,3,1201,1123,38
2013,1,3,1239,1240,-1
2013,1,3,1300,1308,-8
2013,1,3,1326,1330,-4
2013,1,3,1358,1356,2
2013,1,3,1428,1435,-7
2013,1,3,1449,1500,-11
2013,1,3,1458,1500,-2
2013,1,3,1518,1530,-12
2013,1,3,1539,1515,24
2013,1,3,1554,1555,-1
2013,1,3,1617,1605,12
2013,1,3,1635,1635,0
2013,1,3,1657,1700,-3
2013,1,3,1711,1600,71
2013,1,3,1730,1725,5
2013,1,3,1754,1745,9
2013,1,3,1808,1815,-7
2013,1,3,1827,1827,0
2013,1,3,1849,1829,20
2013,1,3,1908,1910,-2
2013,1,3,1928,1928,0
2013,1,3,1951,1940,11
2013,1,3,2012,1600,252
2013,1,3,2036,1935,61
2013,1,3,2058,2100,-2
2013,1,3,2129,2115,14
2013,1,3,2245,2245,0
2013,1,4,106,2245,141
2013,1,4,600,605,-5
2013,1,4,610,615,-5
2013,1,4,633,635,-2
